Resolving data files: 100%|██████████████████████████████████████| 2000/2000 [00:00<00:00, 21553.57it/s]
Resolving data files: 100%|████████████████████████████████████████| 200/200 [00:00<00:00, 32655.75it/s]

Epoch 1/1
epoch 1 | step 0/15 | loss = 1.7141 | 1 / 15 | 12.9100s
epoch 1 | step 1/15 | loss = 1.3604 | 2 / 15 | 12.5441s
epoch 1 | step 2/15 | loss = 1.3026 | 3 / 15 | 12.5568s
epoch 1 | step 3/15 | loss = 1.1722 | 4 / 15 | 12.4673s
epoch 1 | step 4/15 | loss = 1.1624 | 5 / 15 | 12.5295s
epoch 1 | step 5/15 | loss = 1.1285 | 6 / 15 | 12.4273s
epoch 1 | step 6/15 | loss = 1.0196 | 7 / 15 | 12.3787s
epoch 1 | step 7/15 | loss = 1.0764 | 8 / 15 | 12.4208s
epoch 1 | step 8/15 | loss = 0.9723 | 9 / 15 | 12.3663s
epoch 1 | step 9/15 | loss = 1.0015 | 10 / 15 | 12.3755s
epoch 1 | step 10/15 | loss = 1.0387 | 11 / 15 | 12.3237s
epoch 1 | step 11/15 | loss = 0.9195 | 12 / 15 | 12.3830s
epoch 1 | step 12/15 | loss = 0.8400 | 13 / 15 | 12.3696s
epoch 1 | step 13/15 | loss = 0.8365 | 14 / 15 | 12.3596s
epoch 1 | step 14/15 | loss = 0.6808 | 15 / 15 | 12.3048s

