Resolving data files: 100%|██████████████████████████████████████| 2000/2000 [00:00<00:00, 16552.76it/s]
Resolving data files: 100%|████████████████████████████████████████| 200/200 [00:00<00:00, 34416.21it/s]

Epoch 1/1
epoch 1 | step 0/31 | loss = 1.7609 | 1 / 31 | 6.4038s
epoch 1 | step 1/31 | loss = 1.4801 | 2 / 31 | 6.2284s
epoch 1 | step 2/31 | loss = 1.3446 | 3 / 31 | 6.2096s
epoch 1 | step 3/31 | loss = 1.4246 | 4 / 31 | 6.1873s
epoch 1 | step 4/31 | loss = 1.2896 | 5 / 31 | 6.1747s
epoch 1 | step 5/31 | loss = 1.2732 | 6 / 31 | 6.1779s
epoch 1 | step 6/31 | loss = 1.2295 | 7 / 31 | 6.2133s
epoch 1 | step 7/31 | loss = 1.2214 | 8 / 31 | 6.1931s
epoch 1 | step 8/31 | loss = 1.1748 | 9 / 31 | 6.1686s
epoch 1 | step 9/31 | loss = 1.2588 | 10 / 31 | 6.1573s
epoch 1 | step 10/31 | loss = 1.2161 | 11 / 31 | 6.1710s
epoch 1 | step 11/31 | loss = 1.2580 | 12 / 31 | 6.1668s
epoch 1 | step 12/31 | loss = 1.0921 | 13 / 31 | 6.1717s
epoch 1 | step 13/31 | loss = 1.1458 | 14 / 31 | 6.1705s
epoch 1 | step 14/31 | loss = 1.0812 | 15 / 31 | 6.1726s
epoch 1 | step 15/31 | loss = 1.0481 | 16 / 31 | 6.1699s
epoch 1 | step 16/31 | loss = 1.0460 | 17 / 31 | 6.1615s
epoch 1 | step 17/31 | loss = 1.0787 | 18 / 31 | 6.1618s
epoch 1 | step 18/31 | loss = 0.9783 | 19 / 31 | 6.1611s
epoch 1 | step 19/31 | loss = 1.0959 | 20 / 31 | 6.1617s
epoch 1 | step 20/31 | loss = 0.9727 | 21 / 31 | 6.1807s
epoch 1 | step 21/31 | loss = 0.8503 | 22 / 31 | 6.1852s
epoch 1 | step 22/31 | loss = 0.9696 | 23 / 31 | 6.1697s
epoch 1 | step 23/31 | loss = 0.9057 | 24 / 31 | 6.1914s
epoch 1 | step 24/31 | loss = 0.9996 | 25 / 31 | 6.1687s
epoch 1 | step 25/31 | loss = 0.9420 | 26 / 31 | 6.1580s
epoch 1 | step 26/31 | loss = 0.9263 | 27 / 31 | 6.1495s
epoch 1 | step 27/31 | loss = 0.7768 | 28 / 31 | 6.1546s
epoch 1 | step 28/31 | loss = 0.7287 | 29 / 31 | 6.1614s
epoch 1 | step 29/31 | loss = 0.7690 | 30 / 31 | 6.1555s
epoch 1 | step 30/31 | loss = 0.7166 | 31 / 31 | 6.1798s

