Resolving data files: 100%|█████████████████████████████████████████████████████| 2000/2000 [00:00<00:00, 123886.58it/s]
Resolving data files: 100%|███████████████████████████████████████████████████████| 200/200 [00:00<00:00, 159509.56it/s]

Epoch 1/1
epoch 1 | step 0/15 | loss = 1.5373 | 1 / 15 | 9.0952s
epoch 1 | step 1/15 | loss = 1.3423 | 2 / 15 | 8.8148s
epoch 1 | step 2/15 | loss = 1.2908 | 3 / 15 | 9.0078s
epoch 1 | step 3/15 | loss = 1.3263 | 4 / 15 | 8.8779s
epoch 1 | step 4/15 | loss = 1.1517 | 5 / 15 | 9.1272s
epoch 1 | step 5/15 | loss = 1.1595 | 6 / 15 | 9.0323s
epoch 1 | step 6/15 | loss = 1.1379 | 7 / 15 | 9.7856s
epoch 1 | step 7/15 | loss = 1.0501 | 8 / 15 | 9.0477s
epoch 1 | step 8/15 | loss = 1.0605 | 9 / 15 | 9.1385s
epoch 1 | step 9/15 | loss = 0.9031 | 10 / 15 | 8.8802s
epoch 1 | step 10/15 | loss = 0.9503 | 11 / 15 | 9.8246s
epoch 1 | step 11/15 | loss = 0.8806 | 12 / 15 | 9.2089s
epoch 1 | step 12/15 | loss = 0.7591 | 13 / 15 | 9.4424s
epoch 1 | step 13/15 | loss = 0.7470 | 14 / 15 | 9.4382s
epoch 1 | step 14/15 | loss = 0.8006 | 15 / 15 | 9.3217s

