
Epoch 1/10
epoch 1 | step 0/156 | loss = 2.6356 | 1 / 1560 | 2.7822s
epoch 1 | step 1/156 | loss = 2.5739 | 2 / 1560 | 2.5777s
epoch 1 | step 2/156 | loss = 2.6910 | 3 / 1560 | 2.6368s
epoch 1 | step 3/156 | loss = 2.5123 | 4 / 1560 | 2.5067s
epoch 1 | step 4/156 | loss = 2.3542 | 5 / 1560 | 2.4261s
epoch 1 | step 5/156 | loss = 2.4842 | 6 / 1560 | 2.5293s
epoch 1 | step 6/156 | loss = 2.2971 | 7 / 1560 | 2.2727s
epoch 1 | step 7/156 | loss = 2.4907 | 8 / 1560 | 2.3505s
epoch 1 | step 8/156 | loss = 2.3714 | 9 / 1560 | 2.2641s
epoch 1 | step 9/156 | loss = 2.2787 | 10 / 1560 | 2.2758s
epoch 1 | step 10/156 | loss = 2.1623 | 11 / 1560 | 2.4375s
epoch 1 | step 11/156 | loss = 2.1048 | 12 / 1560 | 2.4301s
epoch 1 | step 12/156 | loss = 2.2078 | 13 / 1560 | 2.3817s
epoch 1 | step 13/156 | loss = 2.2985 | 14 / 1560 | 2.6754s
epoch 1 | step 14/156 | loss = 2.1499 | 15 / 1560 | 2.4969s
epoch 1 | step 15/156 | loss = 2.2127 | 16 / 1560 | 2.3075s
epoch 1 | step 16/156 | loss = 2.2198 | 17 / 1560 | 2.2865s
epoch 1 | step 17/156 | loss = 2.1949 | 18 / 1560 | 2.3612s
epoch 1 | step 18/156 | loss = 2.0769 | 19 / 1560 | 2.3860s
epoch 1 | step 19/156 | loss = 2.0677 | 20 / 1560 | 2.6153s
epoch 1 | step 20/156 | loss = 2.0421 | 21 / 1560 | 2.6026s
epoch 1 | step 21/156 | loss = 1.9968 | 22 / 1560 | 2.3154s
epoch 1 | step 22/156 | loss = 2.0343 | 23 / 1560 | 2.4283s
epoch 1 | step 23/156 | loss = 1.9495 | 24 / 1560 | 2.4542s
epoch 1 | step 24/156 | loss = 2.0237 | 25 / 1560 | 2.4797s
epoch 1 | step 25/156 | loss = 2.0593 | 26 / 1560 | 2.3670s
epoch 1 | step 26/156 | loss = 2.0328 | 27 / 1560 | 2.3291s
epoch 1 | step 27/156 | loss = 2.0244 | 28 / 1560 | 2.3108s
epoch 1 | step 28/156 | loss = 2.0339 | 29 / 1560 | 2.3370s
epoch 1 | step 29/156 | loss = 2.0260 | 30 / 1560 | 2.3745s
epoch 1 | step 30/156 | loss = 1.9695 | 31 / 1560 | 2.4424s
epoch 1 | step 31/156 | loss = 2.0033 | 32 / 1560 | 2.4791s
epoch 1 | step 32/156 | loss = 1.9703 | 33 / 1560 | 2.3802s
epoch 1 | step 33/156 | loss = 1.9931 | 34 / 1560 | 2.3259s
epoch 1 | step 34/156 | loss = 2.0785 | 35 / 1560 | 2.3337s
epoch 1 | step 35/156 | loss = 1.9725 | 36 / 1560 | 2.4593s
epoch 1 | step 36/156 | loss = 1.8008 | 37 / 1560 | 2.4153s
epoch 1 | step 37/156 | loss = 1.7400 | 38 / 1560 | 2.3382s
epoch 1 | step 38/156 | loss = 1.7267 | 39 / 1560 | 2.4582s
epoch 1 | step 39/156 | loss = 1.7012 | 40 / 1560 | 2.4974s
epoch 1 | step 40/156 | loss = 1.9202 | 41 / 1560 | 2.4380s
epoch 1 | step 41/156 | loss = 1.7539 | 42 / 1560 | 2.3880s
epoch 1 | step 42/156 | loss = 1.9139 | 43 / 1560 | 2.3198s
epoch 1 | step 43/156 | loss = 1.7978 | 44 / 1560 | 2.3641s
epoch 1 | step 44/156 | loss = 1.7460 | 45 / 1560 | 2.3971s
epoch 1 | step 45/156 | loss = 1.8322 | 46 / 1560 | 2.3647s
epoch 1 | step 46/156 | loss = 1.7391 | 47 / 1560 | 2.2741s
epoch 1 | step 47/156 | loss = 1.7479 | 48 / 1560 | 2.3386s
epoch 1 | step 48/156 | loss = 1.8008 | 49 / 1560 | 2.3347s
epoch 1 | step 49/156 | loss = 1.7000 | 50 / 1560 | 2.4035s
epoch 1 | step 50/156 | loss = 1.5959 | 51 / 1560 | 2.3438s
epoch 1 | step 51/156 | loss = 1.5175 | 52 / 1560 | 2.3001s
epoch 1 | step 52/156 | loss = 1.8361 | 53 / 1560 | 2.3816s
epoch 1 | step 53/156 | loss = 1.7193 | 54 / 1560 | 2.3356s
epoch 1 | step 54/156 | loss = 1.7128 | 55 / 1560 | 2.3005s
epoch 1 | step 55/156 | loss = 1.5276 | 56 / 1560 | 2.3732s
epoch 1 | step 56/156 | loss = 1.5636 | 57 / 1560 | 2.4197s
epoch 1 | step 57/156 | loss = 1.5270 | 58 / 1560 | 2.3605s
epoch 1 | step 58/156 | loss = 1.4184 | 59 / 1560 | 2.3300s
epoch 1 | step 59/156 | loss = 1.6970 | 60 / 1560 | 2.3767s
epoch 1 | step 60/156 | loss = 1.6044 | 61 / 1560 | 2.4352s
epoch 1 | step 61/156 | loss = 1.4749 | 62 / 1560 | 2.4406s
epoch 1 | step 62/156 | loss = 1.4514 | 63 / 1560 | 2.3821s
epoch 1 | step 63/156 | loss = 1.4085 | 64 / 1560 | 2.3508s
epoch 1 | step 64/156 | loss = 1.4664 | 65 / 1560 | 2.3479s
epoch 1 | step 65/156 | loss = 1.4236 | 66 / 1560 | 2.4244s
epoch 1 | step 66/156 | loss = 1.2927 | 67 / 1560 | 2.3922s
epoch 1 | step 67/156 | loss = 1.4274 | 68 / 1560 | 2.5308s
epoch 1 | step 68/156 | loss = 1.5387 | 69 / 1560 | 2.4419s
epoch 1 | step 69/156 | loss = 1.3091 | 70 / 1560 | 2.3018s
epoch 1 | step 70/156 | loss = 1.3066 | 71 / 1560 | 2.3151s
epoch 1 | step 71/156 | loss = 1.4830 | 72 / 1560 | 2.3548s
epoch 1 | step 72/156 | loss = 1.4137 | 73 / 1560 | 2.3832s
epoch 1 | step 73/156 | loss = 1.1864 | 74 / 1560 | 2.2780s
epoch 1 | step 74/156 | loss = 1.3726 | 75 / 1560 | 2.3506s
epoch 1 | step 75/156 | loss = 1.3620 | 76 / 1560 | 2.4764s
epoch 1 | step 76/156 | loss = 1.2095 | 77 / 1560 | 2.4427s
epoch 1 | step 77/156 | loss = 1.4430 | 78 / 1560 | 2.3986s
epoch 1 | step 78/156 | loss = 1.2619 | 79 / 1560 | 2.3587s
epoch 1 | step 79/156 | loss = 1.1328 | 80 / 1560 | 2.3654s
epoch 1 | step 80/156 | loss = 1.2831 | 81 / 1560 | 2.3262s
epoch 1 | step 81/156 | loss = 1.2434 | 82 / 1560 | 2.3630s
epoch 1 | step 82/156 | loss = 1.2597 | 83 / 1560 | 2.3399s
epoch 1 | step 83/156 | loss = 1.0388 | 84 / 1560 | 2.3523s
epoch 1 | step 84/156 | loss = 1.0266 | 85 / 1560 | 2.3653s
epoch 1 | step 85/156 | loss = 1.2373 | 86 / 1560 | 2.3285s
epoch 1 | step 86/156 | loss = 0.9175 | 87 / 1560 | 2.3391s
epoch 1 | step 87/156 | loss = 1.2608 | 88 / 1560 | 2.3132s
epoch 1 | step 88/156 | loss = 1.2381 | 89 / 1560 | 2.4223s
epoch 1 | step 89/156 | loss = 1.1260 | 90 / 1560 | 2.3358s
epoch 1 | step 90/156 | loss = 1.1398 | 91 / 1560 | 2.3474s
epoch 1 | step 91/156 | loss = 1.2121 | 92 / 1560 | 2.4312s
epoch 1 | step 92/156 | loss = 1.1632 | 93 / 1560 | 2.3357s
epoch 1 | step 93/156 | loss = 1.0179 | 94 / 1560 | 2.3294s
epoch 1 | step 94/156 | loss = 1.2133 | 95 / 1560 | 2.3489s
epoch 1 | step 95/156 | loss = 1.1696 | 96 / 1560 | 2.3681s
epoch 1 | step 96/156 | loss = 0.9924 | 97 / 1560 | 2.3427s
epoch 1 | step 97/156 | loss = 0.9845 | 98 / 1560 | 2.3187s
epoch 1 | step 98/156 | loss = 1.0116 | 99 / 1560 | 2.3371s
epoch 1 | step 99/156 | loss = 0.8958 | 100 / 1560 | 2.3283s
epoch 1 | step 100/156 | loss = 0.9999 | 101 / 1560 | 2.4060s
epoch 1 | step 101/156 | loss = 0.9358 | 102 / 1560 | 2.4353s
epoch 1 | step 102/156 | loss = 0.9172 | 103 / 1560 | 2.4057s
epoch 1 | step 103/156 | loss = 1.0500 | 104 / 1560 | 2.3878s
epoch 1 | step 104/156 | loss = 1.0792 | 105 / 1560 | 2.4586s
epoch 1 | step 105/156 | loss = 0.9530 | 106 / 1560 | 2.3567s
epoch 1 | step 106/156 | loss = 0.9785 | 107 / 1560 | 2.4199s
epoch 1 | step 107/156 | loss = 0.6556 | 108 / 1560 | 2.3353s
epoch 1 | step 108/156 | loss = 0.6564 | 109 / 1560 | 2.3524s
epoch 1 | step 109/156 | loss = 0.8687 | 110 / 1560 | 2.3261s
epoch 1 | step 110/156 | loss = 0.6656 | 111 / 1560 | 2.3572s
epoch 1 | step 111/156 | loss = 1.1593 | 112 / 1560 | 2.3252s
epoch 1 | step 112/156 | loss = 0.9223 | 113 / 1560 | 2.3459s
epoch 1 | step 113/156 | loss = 0.7123 | 114 / 1560 | 2.3274s
epoch 1 | step 114/156 | loss = 0.7733 | 115 / 1560 | 2.3346s
epoch 1 | step 115/156 | loss = 0.8377 | 116 / 1560 | 2.3291s
epoch 1 | step 116/156 | loss = 0.9305 | 117 / 1560 | 2.2995s
epoch 1 | step 117/156 | loss = 0.8288 | 118 / 1560 | 2.3435s
epoch 1 | step 118/156 | loss = 0.6887 | 119 / 1560 | 2.2730s
epoch 1 | step 119/156 | loss = 0.8913 | 120 / 1560 | 2.3284s
epoch 1 | step 120/156 | loss = 0.7059 | 121 / 1560 | 2.3422s
epoch 1 | step 121/156 | loss = 0.7305 | 122 / 1560 | 2.3480s
epoch 1 | step 122/156 | loss = 0.8405 | 123 / 1560 | 2.4262s
epoch 1 | step 123/156 | loss = 0.7690 | 124 / 1560 | 2.3198s
epoch 1 | step 124/156 | loss = 0.6032 | 125 / 1560 | 2.3462s
epoch 1 | step 125/156 | loss = 0.8576 | 126 / 1560 | 2.4099s
epoch 1 | step 126/156 | loss = 0.6312 | 127 / 1560 | 2.3416s
epoch 1 | step 127/156 | loss = 0.7278 | 128 / 1560 | 2.3648s
epoch 1 | step 128/156 | loss = 0.6650 | 129 / 1560 | 2.3290s
epoch 1 | step 129/156 | loss = 0.7938 | 130 / 1560 | 2.3075s
