Resolving data files: 100%|██████████████████████████████████████████████████████| 2000/2000 [00:00<00:00, 76633.49it/s]
Resolving data files: 100%|███████████████████████████████████████████████████████| 200/200 [00:00<00:00, 948937.56it/s]

Epoch 1/1
epoch 1 | step 0/62 | loss = 1.5604 | 1 / 62 | 2.3120s
epoch 1 | step 1/62 | loss = 1.4014 | 2 / 62 | 2.2461s
epoch 1 | step 2/62 | loss = 1.3581 | 3 / 62 | 2.2844s
epoch 1 | step 3/62 | loss = 1.3780 | 4 / 62 | 2.2885s
epoch 1 | step 4/62 | loss = 1.2853 | 5 / 62 | 2.3646s
epoch 1 | step 5/62 | loss = 1.3211 | 6 / 62 | 2.3738s
epoch 1 | step 6/62 | loss = 1.2902 | 7 / 62 | 2.3218s
epoch 1 | step 7/62 | loss = 1.2933 | 8 / 62 | 2.3025s
epoch 1 | step 8/62 | loss = 1.3130 | 9 / 62 | 2.3818s
epoch 1 | step 9/62 | loss = 1.2650 | 10 / 62 | 2.3107s
epoch 1 | step 10/62 | loss = 1.2670 | 11 / 62 | 2.3146s
epoch 1 | step 11/62 | loss = 1.3166 | 12 / 62 | 2.3964s
epoch 1 | step 12/62 | loss = 1.2671 | 13 / 62 | 2.3582s
epoch 1 | step 13/62 | loss = 1.2699 | 14 / 62 | 2.3102s
epoch 1 | step 14/62 | loss = 1.2027 | 15 / 62 | 2.3762s
epoch 1 | step 15/62 | loss = 1.1106 | 16 / 62 | 2.3362s
epoch 1 | step 16/62 | loss = 1.2253 | 17 / 62 | 2.3006s
epoch 1 | step 17/62 | loss = 1.1681 | 18 / 62 | 2.2830s
epoch 1 | step 18/62 | loss = 1.1865 | 19 / 62 | 2.2982s
epoch 1 | step 19/62 | loss = 1.0449 | 20 / 62 | 2.3817s
epoch 1 | step 20/62 | loss = 1.0996 | 21 / 62 | 2.2874s
epoch 1 | step 21/62 | loss = 1.1126 | 22 / 62 | 2.3288s
epoch 1 | step 22/62 | loss = 1.0573 | 23 / 62 | 2.4120s
epoch 1 | step 23/62 | loss = 1.0627 | 24 / 62 | 2.3600s
epoch 1 | step 24/62 | loss = 0.9688 | 25 / 62 | 2.5834s
epoch 1 | step 25/62 | loss = 1.0784 | 26 / 62 | 2.4663s
epoch 1 | step 26/62 | loss = 1.1772 | 27 / 62 | 2.3671s
epoch 1 | step 27/62 | loss = 1.0327 | 28 / 62 | 2.4366s
epoch 1 | step 28/62 | loss = 0.9823 | 29 / 62 | 2.4717s
epoch 1 | step 29/62 | loss = 1.0449 | 30 / 62 | 2.2855s
epoch 1 | step 30/62 | loss = 0.9391 | 31 / 62 | 2.4088s
epoch 1 | step 31/62 | loss = 1.0606 | 32 / 62 | 2.5040s
epoch 1 | step 32/62 | loss = 0.8952 | 33 / 62 | 2.3593s
epoch 1 | step 33/62 | loss = 0.8984 | 34 / 62 | 2.4080s
epoch 1 | step 34/62 | loss = 0.9287 | 35 / 62 | 2.4687s
epoch 1 | step 35/62 | loss = 0.7611 | 36 / 62 | 2.4700s
epoch 1 | step 36/62 | loss = 0.7983 | 37 / 62 | 2.4229s
epoch 1 | step 37/62 | loss = 0.8548 | 38 / 62 | 2.4746s
epoch 1 | step 38/62 | loss = 0.9120 | 39 / 62 | 2.5485s
epoch 1 | step 39/62 | loss = 0.9427 | 40 / 62 | 2.5336s
epoch 1 | step 40/62 | loss = 0.8778 | 41 / 62 | 2.5303s
epoch 1 | step 41/62 | loss = 0.8100 | 42 / 62 | 2.4183s
epoch 1 | step 42/62 | loss = 0.9018 | 43 / 62 | 2.7571s
epoch 1 | step 43/62 | loss = 0.8205 | 44 / 62 | 2.4028s
epoch 1 | step 44/62 | loss = 0.8340 | 45 / 62 | 2.3171s
epoch 1 | step 45/62 | loss = 0.8707 | 46 / 62 | 2.3145s
epoch 1 | step 46/62 | loss = 0.9071 | 47 / 62 | 2.3446s
epoch 1 | step 47/62 | loss = 0.7602 | 48 / 62 | 2.3978s
epoch 1 | step 48/62 | loss = 0.5294 | 49 / 62 | 2.3421s
epoch 1 | step 49/62 | loss = 0.8963 | 50 / 62 | 2.3254s
epoch 1 | step 50/62 | loss = 0.7968 | 51 / 62 | 2.3054s
epoch 1 | step 51/62 | loss = 0.7338 | 52 / 62 | 2.3219s
epoch 1 | step 52/62 | loss = 0.6731 | 53 / 62 | 2.3113s
epoch 1 | step 53/62 | loss = 0.7731 | 54 / 62 | 2.3273s
epoch 1 | step 54/62 | loss = 0.7850 | 55 / 62 | 2.2707s
epoch 1 | step 55/62 | loss = 0.6761 | 56 / 62 | 2.3431s
epoch 1 | step 56/62 | loss = 0.6961 | 57 / 62 | 2.5793s
epoch 1 | step 57/62 | loss = 0.5634 | 58 / 62 | 2.4295s
epoch 1 | step 58/62 | loss = 0.6643 | 59 / 62 | 2.4797s
epoch 1 | step 59/62 | loss = 0.6873 | 60 / 62 | 2.5135s
epoch 1 | step 60/62 | loss = 0.6110 | 61 / 62 | 2.4138s
epoch 1 | step 61/62 | loss = 0.7704 | 62 / 62 | 2.4655s

