Resolving data files: 100%|██████████████████████████████████████| 2000/2000 [00:00<00:00, 19824.62it/s]
Resolving data files: 100%|████████████████████████████████████████| 200/200 [00:00<00:00, 27732.77it/s]

Epoch 1/1
epoch 1 | step 0/15 | loss = 1.7319 | 1 / 15 | 12.9108s
epoch 1 | step 1/15 | loss = 1.4548 | 2 / 15 | 12.6037s
epoch 1 | step 2/15 | loss = 1.4201 | 3 / 15 | 12.6252s
epoch 1 | step 3/15 | loss = 1.3375 | 4 / 15 | 12.4602s
epoch 1 | step 4/15 | loss = 1.3415 | 5 / 15 | 12.5052s
epoch 1 | step 5/15 | loss = 1.2890 | 6 / 15 | 12.4830s
epoch 1 | step 6/15 | loss = 1.1826 | 7 / 15 | 12.4774s
epoch 1 | step 7/15 | loss = 1.1624 | 8 / 15 | 12.4537s
epoch 1 | step 8/15 | loss = 1.1249 | 9 / 15 | 12.3667s
epoch 1 | step 9/15 | loss = 1.1147 | 10 / 15 | 12.3735s
epoch 1 | step 10/15 | loss = 1.0343 | 11 / 15 | 12.2933s
epoch 1 | step 11/15 | loss = 1.0132 | 12 / 15 | 12.3905s
epoch 1 | step 12/15 | loss = 0.9048 | 13 / 15 | 12.3472s
epoch 1 | step 13/15 | loss = 0.9377 | 14 / 15 | 12.3213s
epoch 1 | step 14/15 | loss = 0.9281 | 15 / 15 | 12.2602s

