
Epoch 1/10
epoch 1 | step 0/78 | loss = 2.4577 | 1 / 780 | 6.3965s
epoch 1 | step 1/78 | loss = 2.4579 | 2 / 780 | 6.3001s
epoch 1 | step 2/78 | loss = 2.5033 | 3 / 780 | 6.2688s
epoch 1 | step 3/78 | loss = 2.3726 | 4 / 780 | 6.2046s
epoch 1 | step 4/78 | loss = 2.2907 | 5 / 780 | 6.2056s
epoch 1 | step 5/78 | loss = 2.1856 | 6 / 780 | 6.2279s
epoch 1 | step 6/78 | loss = 2.2241 | 7 / 780 | 6.1733s
epoch 1 | step 7/78 | loss = 2.1980 | 8 / 780 | 6.1780s
epoch 1 | step 8/78 | loss = 2.0113 | 9 / 780 | 6.1845s
epoch 1 | step 9/78 | loss = 2.1155 | 10 / 780 | 6.2342s
epoch 1 | step 10/78 | loss = 2.0677 | 11 / 780 | 6.2167s
epoch 1 | step 11/78 | loss = 2.1409 | 12 / 780 | 6.2442s
epoch 1 | step 12/78 | loss = 1.9402 | 13 / 780 | 6.1646s
epoch 1 | step 13/78 | loss = 1.9960 | 14 / 780 | 6.1698s
epoch 1 | step 14/78 | loss = 2.0529 | 15 / 780 | 6.1262s
epoch 1 | step 15/78 | loss = 1.9081 | 16 / 780 | 6.1542s
epoch 1 | step 16/78 | loss = 1.8714 | 17 / 780 | 6.1565s
epoch 1 | step 17/78 | loss = 1.8326 | 18 / 780 | 6.1469s
epoch 1 | step 18/78 | loss = 1.9142 | 19 / 780 | 6.1397s
epoch 1 | step 19/78 | loss = 1.8712 | 20 / 780 | 6.1452s
epoch 1 | step 20/78 | loss = 1.8290 | 21 / 780 | 6.1795s
epoch 1 | step 21/78 | loss = 1.6311 | 22 / 780 | 6.1644s
epoch 1 | step 22/78 | loss = 1.8101 | 23 / 780 | 6.2085s
epoch 1 | step 23/78 | loss = 1.7542 | 24 / 780 | 6.1589s
epoch 1 | step 24/78 | loss = 1.7507 | 25 / 780 | 6.1783s
epoch 1 | step 25/78 | loss = 1.7415 | 26 / 780 | 6.1471s
epoch 1 | step 26/78 | loss = 1.5055 | 27 / 780 | 6.1427s
epoch 1 | step 27/78 | loss = 1.5962 | 28 / 780 | 6.1418s
epoch 1 | step 28/78 | loss = 1.6604 | 29 / 780 | 6.1514s
epoch 1 | step 29/78 | loss = 1.6404 | 30 / 780 | 6.1376s
epoch 1 | step 30/78 | loss = 1.3779 | 31 / 780 | 6.2002s
epoch 1 | step 31/78 | loss = 1.4819 | 32 / 780 | 6.1435s
epoch 1 | step 32/78 | loss = 1.5059 | 33 / 780 | 6.1591s
epoch 1 | step 33/78 | loss = 1.3616 | 34 / 780 | 6.1640s
epoch 1 | step 34/78 | loss = 1.5217 | 35 / 780 | 6.1484s
epoch 1 | step 35/78 | loss = 1.4561 | 36 / 780 | 6.1853s
epoch 1 | step 36/78 | loss = 1.3287 | 37 / 780 | 6.1405s
epoch 1 | step 37/78 | loss = 1.5553 | 38 / 780 | 6.1760s
epoch 1 | step 38/78 | loss = 1.3252 | 39 / 780 | 6.1454s
epoch 1 | step 39/78 | loss = 1.2637 | 40 / 780 | 6.1426s
epoch 1 | step 40/78 | loss = 1.4021 | 41 / 780 | 6.1526s
epoch 1 | step 41/78 | loss = 1.1110 | 42 / 780 | 6.1690s
epoch 1 | step 42/78 | loss = 1.0220 | 43 / 780 | 6.1474s
epoch 1 | step 43/78 | loss = 1.1869 | 44 / 780 | 6.1499s
epoch 1 | step 44/78 | loss = 0.9790 | 45 / 780 | 6.1464s
epoch 1 | step 45/78 | loss = 1.2278 | 46 / 780 | 6.1539s
epoch 1 | step 46/78 | loss = 1.0320 | 47 / 780 | 6.1329s
epoch 1 | step 47/78 | loss = 1.0073 | 48 / 780 | 6.1617s
epoch 1 | step 48/78 | loss = 1.0259 | 49 / 780 | 6.1542s
epoch 1 | step 49/78 | loss = 1.1393 | 50 / 780 | 6.1326s
epoch 1 | step 50/78 | loss = 1.1331 | 51 / 780 | 6.1513s
epoch 1 | step 51/78 | loss = 0.9164 | 52 / 780 | 6.1469s
epoch 1 | step 52/78 | loss = 0.8953 | 53 / 780 | 6.1733s
epoch 1 | step 53/78 | loss = 0.9608 | 54 / 780 | 6.1710s
epoch 1 | step 54/78 | loss = 0.8150 | 55 / 780 | 6.1653s
epoch 1 | step 55/78 | loss = 0.9110 | 56 / 780 | 6.1942s
epoch 1 | step 56/78 | loss = 0.9647 | 57 / 780 | 6.1647s
epoch 1 | step 57/78 | loss = 1.0629 | 58 / 780 | 6.2096s
epoch 1 | step 58/78 | loss = 0.8691 | 59 / 780 | 6.1913s
epoch 1 | step 59/78 | loss = 0.7278 | 60 / 780 | 6.1846s
epoch 1 | step 60/78 | loss = 0.8500 | 61 / 780 | 6.1447s
epoch 1 | step 61/78 | loss = 0.8615 | 62 / 780 | 6.1904s
epoch 1 | step 62/78 | loss = 0.7385 | 63 / 780 | 6.1925s
epoch 1 | step 63/78 | loss = 0.7910 | 64 / 780 | 6.1396s
epoch 1 | step 64/78 | loss = 0.7180 | 65 / 780 | 6.1991s
epoch 1 | step 65/78 | loss = 0.7476 | 66 / 780 | 6.1494s
epoch 1 | step 66/78 | loss = 0.5809 | 67 / 780 | 6.1962s
epoch 1 | step 67/78 | loss = 0.6903 | 68 / 780 | 6.1601s
epoch 1 | step 68/78 | loss = 0.6767 | 69 / 780 | 6.1661s
epoch 1 | step 69/78 | loss = 0.7712 | 70 / 780 | 6.1500s
epoch 1 | step 70/78 | loss = 0.5989 | 71 / 780 | 6.1879s
epoch 1 | step 71/78 | loss = 0.6923 | 72 / 780 | 6.1729s
epoch 1 | step 72/78 | loss = 0.6557 | 73 / 780 | 6.1469s
epoch 1 | step 73/78 | loss = 0.6425 | 74 / 780 | 6.1774s
epoch 1 | step 74/78 | loss = 0.5413 | 75 / 780 | 6.1563s
epoch 1 | step 75/78 | loss = 0.7762 | 76 / 780 | 6.1605s
epoch 1 | step 76/78 | loss = 0.5849 | 77 / 780 | 6.1631s
epoch 1 | step 77/78 | loss = 0.4492 | 78 / 780 | 6.2168s

Epoch 2/10
epoch 2 | step 0/78 | loss = 0.6034 | 79 / 780 | 6.1510s
epoch 2 | step 1/78 | loss = 0.6285 | 80 / 780 | 6.1999s
epoch 2 | step 2/78 | loss = 0.5471 | 81 / 780 | 6.1467s
epoch 2 | step 3/78 | loss = 0.7490 | 82 / 780 | 6.2106s
epoch 2 | step 4/78 | loss = 0.4659 | 83 / 780 | 6.2227s
epoch 2 | step 5/78 | loss = 0.5350 | 84 / 780 | 6.2424s
epoch 2 | step 6/78 | loss = 0.5244 | 85 / 780 | 6.1914s
epoch 2 | step 7/78 | loss = 0.5479 | 86 / 780 | 6.1848s
epoch 2 | step 8/78 | loss = 0.5728 | 87 / 780 | 6.1690s
epoch 2 | step 9/78 | loss = 0.4805 | 88 / 780 | 6.2394s
epoch 2 | step 10/78 | loss = 0.6254 | 89 / 780 | 6.2323s
epoch 2 | step 11/78 | loss = 0.4683 | 90 / 780 | 6.1796s
epoch 2 | step 12/78 | loss = 0.4768 | 91 / 780 | 6.2296s
epoch 2 | step 13/78 | loss = 0.6730 | 92 / 780 | 6.2475s
epoch 2 | step 14/78 | loss = 0.5346 | 93 / 780 | 6.2544s
epoch 2 | step 15/78 | loss = 0.5134 | 94 / 780 | 6.2250s
epoch 2 | step 16/78 | loss = 0.5349 | 95 / 780 | 6.1736s
epoch 2 | step 17/78 | loss = 0.3982 | 96 / 780 | 6.2167s
epoch 2 | step 18/78 | loss = 0.3149 | 97 / 780 | 6.1727s
epoch 2 | step 19/78 | loss = 0.5262 | 98 / 780 | 6.1565s
epoch 2 | step 20/78 | loss = 0.5381 | 99 / 780 | 6.2122s
epoch 2 | step 21/78 | loss = 0.5131 | 100 / 780 | 6.2031s
epoch 2 | step 22/78 | loss = 0.4136 | 101 / 780 | 6.1458s
epoch 2 | step 23/78 | loss = 0.3798 | 102 / 780 | 6.1536s
epoch 2 | step 24/78 | loss = 0.4648 | 103 / 780 | 6.1443s
epoch 2 | step 25/78 | loss = 0.3824 | 104 / 780 | 6.1533s
epoch 2 | step 26/78 | loss = 0.4702 | 105 / 780 | 6.1933s
epoch 2 | step 27/78 | loss = 0.4140 | 106 / 780 | 6.1463s
epoch 2 | step 28/78 | loss = 0.4905 | 107 / 780 | 6.1998s
epoch 2 | step 29/78 | loss = 0.4396 | 108 / 780 | 6.2436s
epoch 2 | step 30/78 | loss = 0.6984 | 109 / 780 | 6.1658s
epoch 2 | step 31/78 | loss = 0.3330 | 110 / 780 | 6.1854s
epoch 2 | step 32/78 | loss = 0.4799 | 111 / 780 | 6.1777s
epoch 2 | step 33/78 | loss = 0.4985 | 112 / 780 | 6.1636s
epoch 2 | step 34/78 | loss = 0.3658 | 113 / 780 | 6.1848s
epoch 2 | step 35/78 | loss = 0.3499 | 114 / 780 | 6.1754s
epoch 2 | step 36/78 | loss = 0.4378 | 115 / 780 | 6.1469s
epoch 2 | step 37/78 | loss = 0.4901 | 116 / 780 | 6.1576s
epoch 2 | step 38/78 | loss = 0.3477 | 117 / 780 | 6.2215s
epoch 2 | step 39/78 | loss = 0.3741 | 118 / 780 | 6.1645s
epoch 2 | step 40/78 | loss = 0.4868 | 119 / 780 | 6.1713s
epoch 2 | step 41/78 | loss = 0.2998 | 120 / 780 | 6.1352s
epoch 2 | step 42/78 | loss = 0.3750 | 121 / 780 | 6.1608s
epoch 2 | step 43/78 | loss = 0.5359 | 122 / 780 | 6.1529s
epoch 2 | step 44/78 | loss = 0.6343 | 123 / 780 | 6.1802s
epoch 2 | step 45/78 | loss = 0.6336 | 124 / 780 | 6.2074s
epoch 2 | step 46/78 | loss = 0.5851 | 125 / 780 | 6.1707s
epoch 2 | step 47/78 | loss = 0.5022 | 126 / 780 | 6.2116s
epoch 2 | step 48/78 | loss = 0.4355 | 127 / 780 | 6.2136s
epoch 2 | step 49/78 | loss = 0.5453 | 128 / 780 | 6.2709s
epoch 2 | step 50/78 | loss = 0.5619 | 129 / 780 | 6.1987s
epoch 2 | step 51/78 | loss = 0.5913 | 130 / 780 | 6.1615s
epoch 2 | step 52/78 | loss = 0.3601 | 131 / 780 | 6.2120s
epoch 2 | step 53/78 | loss = 0.3637 | 132 / 780 | 6.2090s
epoch 2 | step 54/78 | loss = 0.3842 | 133 / 780 | 6.1729s
epoch 2 | step 55/78 | loss = 0.4187 | 134 / 780 | 6.2015s
epoch 2 | step 56/78 | loss = 0.5275 | 135 / 780 | 6.2255s
epoch 2 | step 57/78 | loss = 0.4054 | 136 / 780 | 6.1819s
epoch 2 | step 58/78 | loss = 0.4523 | 137 / 780 | 6.2195s
epoch 2 | step 59/78 | loss = 0.4776 | 138 / 780 | 6.1846s
epoch 2 | step 60/78 | loss = 0.4037 | 139 / 780 | 6.2527s
epoch 2 | step 61/78 | loss = 0.3888 | 140 / 780 | 6.2581s
epoch 2 | step 62/78 | loss = 0.2322 | 141 / 780 | 6.1993s
