Resolving data files: 100%|██████████████████████████████████████| 2000/2000 [00:00<00:00, 18451.67it/s]
Resolving data files: 100%|████████████████████████████████████████| 200/200 [00:00<00:00, 35405.43it/s]

Epoch 1/1
epoch 1 | step 0/15 | loss = 1.5270 | 1 / 15 | 12.7629s
epoch 1 | step 1/15 | loss = 1.3738 | 2 / 15 | 12.5380s
epoch 1 | step 2/15 | loss = 1.3276 | 3 / 15 | 12.4956s
epoch 1 | step 3/15 | loss = 1.2842 | 4 / 15 | 12.5100s
epoch 1 | step 4/15 | loss = 1.2981 | 5 / 15 | 12.4879s
epoch 1 | step 5/15 | loss = 1.1665 | 6 / 15 | 12.3918s
epoch 1 | step 6/15 | loss = 1.1041 | 7 / 15 | 12.3266s
epoch 1 | step 7/15 | loss = 1.0489 | 8 / 15 | 12.2934s
epoch 1 | step 8/15 | loss = 1.0132 | 9 / 15 | 12.3112s
epoch 1 | step 9/15 | loss = 1.0177 | 10 / 15 | 12.3539s
epoch 1 | step 10/15 | loss = 0.9732 | 11 / 15 | 12.2480s
epoch 1 | step 11/15 | loss = 0.9007 | 12 / 15 | 12.2544s
epoch 1 | step 12/15 | loss = 0.8189 | 13 / 15 | 12.2807s
epoch 1 | step 13/15 | loss = 0.8978 | 14 / 15 | 12.2753s
epoch 1 | step 14/15 | loss = 0.9106 | 15 / 15 | 12.1984s

